datatype,UP1,UP2,P1,P2,REC
RMSx,1.23132219924846,1.88679065933448,2.24658380054301,2.31501507127424,1.67290262272155
RMSy,3.53763198947911,3.34830008245839,4.18212248161402,3.52612909046621,3.80320206096503
RMSz,8.68943721319702,8.63411938981059,8.20286244761237,8.53835952054747,8.56492872560347
RMSrT,9.46241584023029,9.45087879891843,9.47756506485357,9.52346913918361,9.51950383036348
RMSwx,13.622215044686,17.6157111036031,17.6219605764758,14.9681034587715,14.1080584472861
RMSwy,10.8934194115642,17.845888436804,14.4481720009885,14.0599947280477,11.5709156128338
RMSwz,11.5650793678344,14.9951669168632,15.390572905615,14.3338133841848,10.9070185410465
RMSwT,20.9280288126766,29.2171874527486,27.4982345450043,25.0436774264055,21.2576210975286
P2Px,19.8311,28.711,38.168,32.927,24.181
P2Py,30.109,36.433,27.795,39.458,30.626
P2Pz,26.2767,34.651,29.916,26.217,27.698
P2PrT,15.9239208572774,23.8943158724349,21.3868629935709,20.2806871033603,12.6240300125628
P2Pwx,722.5,810.37,746.84,729.84,557.85
P2Pwy,432.4,841.94,806.93,724.9,491.09
P2Pwz,532.09,721.92,608.58,726.95,394.35
P2PwT,401.483906690883,793.938905783893,511.923295804056,536.723354607784,360.512530980499
MAXr,21.1932105788623,24.63093281709,23.6446410207472,23.6974527274557,18.2245758743516
MINr,5.26928972158487,0.73661694465509,2.25777802717628,3.4167656240954,5.60054586178883
MAXw,401.599170940379,794.00185396509,511.960692163959,536.812377465349,360.624721421036
MINw,0.115264249496537,0.0629481811969178,0.0373963599030708,0.089022857564785,0.112190440537507
VARrT,0.0914777936900472,0.242393100768478,0.14204882026193,0.126229706963596,0.0945239401160717
VARwT,366.626140839395,726.90507369522,615.266025485146,506.927003926953,370.274875739917
