datatype,UP1,UP2,P1,P2,REC
RMSx,9.59222857730031,9.60860125864058,9.40901702721824,9.3507125284097,9.41484112952036
RMSy,0.754854622939086,0.56040855402105,1.10300803671365,0.545684650502906,0.71141425148247
RMSz,1.7584230266829,1.52159090094252,2.2873649566652,2.68260927016189,2.40567376409693
RMSrT,9.78124256532461,9.74446072211286,9.74567938075728,9.74320219553669,9.74333669697321
RMSwx,13.908612608036,7.65942953833457,11.0719346116428,9.8245962749359,10.1317707242844
RMSwy,16.0248879867681,6.35601527089677,6.69784462590674,4.72031850978317,4.91251520186389
RMSwz,5.19348424043103,3.52394300868847,4.24931588620433,3.59433562397123,3.45639216960043
RMSwT,21.8453385925805,10.5585967488615,13.620042003534,11.4770792180343,11.7784646897669
P2Px,33.78,22.11802,40.336,12.1292,12.2595
P2Py,31.212,12.5305,49.038,12.0605,10.1649
P2Pz,45.658,14.7808,45.141,10.0889,10.1995
P2PrT,32.9435805305057,22.2596980551542,35.000893978777,11.7236499598754,11.6055242121259
P2Pwx,841.57,335.97,1000.53,253.05,298.05
P2Pwy,1000.53,709.93,1000.53,182.595,364.84
P2Pwz,568.31,193.191,1000.53,119.465,127.756
P2PwT,720.968991155502,478.12904539264,795.387118807339,134.051585475367,215.171679316597
MAXr,34.0046536815184,22.7606432591436,37.574035130659,17.5293591500089,18.0600618051685
MINr,1.06107315101269,0.500945203989418,2.57314115188207,5.80570919013345,6.45453759304259
MAXw,721.14571772978,478.30244808556,795.469335046927,134.170826221649,215.253895927577
MINw,0.176726574277894,0.173402692920266,0.0822162395880522,0.119240746282468,0.0822166109797771
VARrT,0.230615196160964,0.0410020218097394,0.0597172575607616,0.0265647674714638,0.0300512318114731
VARwT,401.735445444991,83.8685275860198,139.87488932811,86.8174929147958,102.179876917474
