datatype,UP1,UP2,P1,P2,REC
RMSx,2.76877808166475,1.58930691607763,1.44522572596066,1.47840578381612,1.54802786121026
RMSy,4.89214434814374,4.95106392564717,6.19447993333515,6.24458087747698,3.66230681239566
RMSz,7.95691122589068,8.20002915664835,7.39871864463223,7.37649194059891,8.76116036368155
RMSrT,9.74226075637924,9.7097584233193,9.75711517949332,9.77717276858156,9.62116481333459
RMSwx,22.8789500916747,21.4129445305822,26.412617663645,33.8794209662942,12.4029716564499
RMSwy,24.2486503926546,20.6808537595119,16.362076448455,20.3392452653632,10.3158217941245
RMSwz,22.8342882482854,18.8611802745018,14.8950438831618,16.9439751597183,11.8666622674488
RMSwT,40.408515475928,35.2413964967247,34.4558594412082,42.995329481109,20.0266711804166
P2Px,48.808,45.048,32.53,37.108,17.4698
P2Py,36.012,35.784,31.482,35.796,24.771
P2Pz,46.675,35.374,21.7113,22.4335,15.5547
P2PrT,39.4681177945964,31.5299972976189,20.7396463658365,27.6849049667873,11.2539368474435
P2Pwx,1000.53,884.06,766.44,813.28,521.13
P2Pwy,1000.53,1000.53,698.7,685.9,526.3
P2Pwz,1000.53,616.12,419.13,524.23,341.45
P2PwT,866.389526603484,570.990984126658,501.50776246885,464.926153182986,383.79795128826
MAXr,40.8186218410176,34.8705675199014,23.1132731825244,30.7196388684828,15.8569014236704
MINr,1.35050404642119,3.34057022228242,2.37362681668791,3.0347339016955,4.60296457622693
MAXw,866.48728403826,571.082587459993,501.556041910573,465.029700341817,383.864499974926
MINw,0.0977574347760824,0.0916033333345463,0.0482794417221243,0.103547158831134,0.0665486866662296
VARrT,0.625353685717797,0.330246299729957,0.297041452820484,0.410436466251094,0.102234003428421
VARwT,1367.36383232613,969.56491312033,928.952928665378,1440.61936735701,301.797796257466
