datatype,UP1,UP2,P1,P2,REC
RMSx,7.12750512703127,5.45809457349017,4.31057144185168,4.28177221023561,4.38467076248354
RMSy,4.12174586185759,3.81037772153383,5.41585116796099,5.14459318977675,3.65312819081383
RMSz,5.04151470859456,7.05577961852018,6.85431300735297,7.09275782238739,7.88832946971072
RMSrT,9.65437666773845,9.70019591446735,9.7413590854449,9.75231387290631,9.73634557195888
RMSwx,25.3206297858603,16.3027085663623,27.227100008903,34.1936687303248,21.7045845361273
RMSwy,26.1399763617443,17.6569179647839,18.2999430914803,18.8713740349081,16.3240591635988
RMSwz,21.0454069491709,14.1218498303775,21.5873063821056,24.5885684700558,16.2822487576977
RMSwT,42.0397646354182,27.8742121188489,39.2710413521353,46.1512019194649,31.6650520616992
P2Px,47.735,29.253,22.6871,21.9517,37.338
P2Py,39.927,27.422,38.338,39.012,35.097
P2Pz,41.964,18.8197,25.6145,26.843,19.8308
P2PrT,35.5903944564158,19.753546640308,26.1367734954204,23.9924862342498,28.7042691917836
P2Pwx,1000.53,537.59,739.19,758.17,820.16
P2Pwy,1000.53,577.62,546.16,555.14,923.51
P2Pwz,1000.53,434.04,598.14,806.6,688.91
P2PwT,740.539199763737,388.219561285989,471.837620575333,479.688304323549,511.14337315289
MAXr,36.8243231709695,21.5415870780219,29.382230854719,26.8018289114754,31.7886490974373
MINr,1.23392871455364,1.78804043771387,3.24545735929853,2.80934267722558,3.08437990565365
MAXw,740.726182134802,388.464315092133,471.968063285007,479.917311523558,511.478907549471
MINw,0.186982371064761,0.244753806144052,0.130442709673634,0.229007200009083,0.335534396581036
VARrT,0.52119781795941,0.193727026250211,0.256513415312431,0.313731545532951,0.235299976563291
VARwT,1268.19351247606,476.826320982915,1092.74609433997,1569.21009035825,675.855165804175
