datatype,UP1,UP2,P1,P2,REC
RMSx,3.81261808846423,3.40350330081468,3.17605685733885,3.00344227425138,4.7460229666023
RMSy,3.86433965625861,3.78874187184224,4.48866839504588,4.38938759858681,3.2465165949031
RMSz,8.46937774517711,8.87075731980013,8.36570237474403,8.42568898447037,8.15056074048424
RMSrT,10.0597980624821,10.2288188524822,10.0110167987338,9.9639160899926,9.97478041787491
RMSwx,23.7181646848125,23.6235306026718,25.3640588845105,22.5661729832638,19.6418901179155
RMSwy,33.2868865051676,45.8822311834691,19.1527721886417,11.9903875989864,16.8021546006168
RMSwz,23.496124750462,20.8519887230803,16.2413588376129,10.887674450089,14.8472220673018
RMSwT,47.1448409427062,55.6601811910108,35.6923787733324,27.7766630972051,29.8086606499365
P2Px,45.506,45.578,42.868,15.5665,34.313
P2Py,48.759,48.518,46.554,29.313,47.904
P2Pz,48.096,36.482,28.2772,22.2289,32.072
P2PrT,34.4780710592756,38.1872753464484,32.9161710033533,13.2532971355105,33.4603474758534
P2Pwx,1000.53,1000.53,873.76,706.41,897.49
P2Pwy,1000.53,1000.53,1000.53,355.26,994.56
P2Pwz,955.05,821.08,818.2,341.91,816.67
P2PwT,747.701007419022,712.174993837725,642.686943334178,399.411305613704,717.251198623924
MAXr,35.4120231983432,39.1052355062593,36.9124517067073,16.9963945347241,36.4227298812157
MINr,0.933952139067629,0.917960159810871,3.99628070335406,3.74309739921365,2.96238240536228
MAXw,747.813198131726,712.209131887538,642.778546667513,399.51817589942,717.344065145869
MINw,0.11219071270386,0.0341380498124893,0.0916033333345463,0.106870285715909,0.0928665219441323
VARrT,0.850392360466077,0.829721181135929,0.259741557476427,0.19771664841078,0.254504894589655
VARwT,1708.67214912941,2375.05000369489,959.93331935718,582.238543664181,728.299954043174
