datatype,UP1,UP2,P1,P2,REC
RMSx,4.58363077658532,4.41463252870291,4.42578031859855,8.49117009941227,9.58933090269542
RMSy,3.15590505494199,2.48196344232952,4.14080035508496,3.19864738104828,2.21974131064195
RMSz,7.64584542003763,7.98646811387291,7.35593434631803,4.46089793454515,2.98203406077383
RMSrT,9.45665691452211,9.45689144626556,9.53118718295404,10.110930971373,10.2846995963506
RMSwx,14.6844514770141,16.6516456600332,22.0527876935749,18.1231763206454,15.4512406916044
RMSwy,12.7229303576874,14.8743735290481,22.016037238064,17.6295513509167,15.7240653407609
RMSwz,10.9188926980286,11.6477464957465,13.8308101136393,17.2313155497153,14.9405260143593
RMSwT,22.2874020428225,25.1832144393468,34.0928533438499,30.5968762516319,26.6309291489456
P2Px,24.626,23.8197,33.109,38.904,31.2526
P2Py,31.277,39.88,46.108,39.795,35.47
P2Pz,24.3008,33.398,32.928,40.133,24.4818
P2PrT,19.5817914702836,26.3114927756811,27.9655950462751,30.5487042332484,24.8559205973212
P2Pwx,665.57,583.32,846.23,886.67,614.54
P2Pwy,612.4,747.25,983.63,907.58,875.04
P2Pwz,393.24,389.12,559.48,1000.53,487.22
P2PwT,428.426840257193,468.662629373516,609.80291193788,727.424288700885,591.516279627234
MAXr,21.2590952300421,27.9936811457514,29.6121496148118,32.2441949169149,27.6883636276397
MINr,1.6773037597585,1.68218837007037,1.64655456853668,1.69549068366653,2.83244303031853
MAXw,428.475119698916,468.761572230489,609.882242559168,727.472568142607,591.59990134296
MINw,0.0482794417221243,0.0989428569731034,0.0793306212883777,0.0482794417221243,0.0836217157262394
VARrT,0.12931630117697,0.166907270267595,0.306106690823696,0.412186789507064,0.189345134744723
VARwT,399.28032358389,519.529654516985,929.354413297355,742.630550010255,549.237936688416
