datatype,UP1,UP2,P1,P2,REC
RMSx,9.4932059301625,9.44683137015597,9.46777856770381,9.42626546615886,9.27844101171967
RMSy,1.73736183588675,1.85488942293084,0.713541259369351,0.910237975810511,1.40627632002327
RMSz,1.42407600313539,1.49851688345914,2.11620602126816,2.26078653878993,2.63205034928915
RMSrT,9.75537684787084,9.74314069268609,9.72760505265019,9.73622974179843,9.74652603430643
RMSwx,5.73440358855243,5.43666244946536,5.96178614874119,6.770492840309,7.5416696715696
RMSwy,7.40807303812359,6.55090190466506,4.2966133076234,4.50348415750701,3.75218909247475
RMSwz,2.4374169414908,2.46769528422494,2.508100443757,2.4574963108169,2.82830735655621
RMSwT,9.68007913197217,8.86347191397124,7.76494351779476,8.49471782787814,8.88566412396446
P2Px,35.445,39.024,16.5739,19.8054,7.5222
P2Py,38.617,40.112,25.71,32.914,11.922
P2Pz,29.369,21.9001,20.9079,35.827,6.22801
P2PrT,21.9929502043379,23.5428890639758,16.4259061475942,21.8568755096063,7.58420047776519
P2Pwx,641.96,668.54,387.88,912.87,234.76
P2Pwy,962.47,969.68,385.42,736.89,171.196
P2Pwz,276.87,220.08,134.458,212.866,153.939
P2PwT,540.463303161401,586.556809581097,246.179217185603,624.678207536556,133.098099538638
MAXr,25.3414305026374,26.0629187544296,20.7639224111068,26.1539813030445,13.9856425514311
MINr,3.34848029829951,2.52002969045386,4.33801626351262,4.29710579343818,6.4014420736659
MAXw,540.594636256225,586.683628131858,246.306951745175,624.801295389982,133.318290555031
MINw,0.131333094823811,0.126818550760526,0.127734559571793,0.123087853425917,0.220191016392586
VARrT,0.0514499664144858,0.0543225939469772,0.0175675018897529,0.0134054504363665,0.0135537275451563
VARwT,78.9758073872657,63.9134411293329,42.810691211049,52.4379518372075,56.9060603540355
