datatype,UP1,UP2,P1,P2,REC
RMSx,9.15520652513095,7.64431753685846,8.763307096078,9.00956241095749,8.50802789066202
RMSy,3.01733748050965,1.95974479032174,4.23519306398561,3.4426996351876,2.72307261100115
RMSz,2.90529429334419,6.01451865619397,2.4292507312013,2.78910232502001,4.59385307611278
RMSrT,10.0679127389955,9.92222882790053,10.0316334993083,10.0400939933096,10.0451555049177
RMSwx,23.2271344778351,18.2915911437461,21.2937415612025,17.5713032456176,24.7977441333227
RMSwy,21.1097759178742,29.6343681335345,22.7691876392578,18.247105423372,26.2875625971207
RMSwz,18.7313838748343,19.9876102314861,23.3229010327386,18.4778161525982,22.694055727981
RMSwT,36.5511580831675,40.1532395207364,38.9334951938551,31.3550194362932,42.6729917721266
P2Px,44.458,48.192,30.94,35.133,35.181
P2Py,48.76,42.494,28.952,33.06,33.048
P2Pz,38.976,46.747,20.711,25.772,31.217
P2PrT,37.4208300957004,32.1916256103319,17.0790220092576,20.4629358198544,21.2169178971562
P2Pwx,1000.53,812.55,545.67,451.15,759.69
P2Pwy,1000.53,1000.53,766.59,660.69,862.84
P2Pwz,1000.53,836.46,844.65,645.54,670.09
P2PwT,866.209111733413,733.945639514074,671.742344750706,425.156900181314,501.677496940245
MAXr,39.7417309763931,33.4828327505305,21.291750432738,24.0993340364418,24.6676118998171
MINr,2.32090088069267,1.29120714019866,4.21272842348044,3.6363982165874,3.45069400266091
MAXw,866.475736994407,734.175660792429,671.886377474644,425.420008519816,502.033911728082
MINw,0.266625260993778,0.230021278354851,0.144032723938,0.263108338501462,0.356414787837149
VARrT,0.298644318667777,0.34565153182833,0.272224086390874,0.197604569761993,0.364506468026891
VARwT,887.439099555073,1165.55475641836,999.264872351054,639.742365780968,1205.18972996095
