datatype,UP1,UP2,P1,P2,REC
RMSx,9.32099076019474,9.32991474813339,9.11608693102901,9.11493322430958,9.28978750348651
RMSy,1.1790622451235,1.71221867403351,1.30241099899008,1.26296856454991,1.3854056771599
RMSz,2.65300034957203,2.18612599581269,3.22830872373435,3.17150018715957,2.5756040073713
RMSrT,9.76265677898905,9.73437973703071,9.75813981044069,9.73321687397425,9.7392626390825
RMSwx,21.4349105565473,14.0530805660587,23.9750167677102,16.8184232239072,18.2262975345744
RMSwy,9.05316750193368,6.50315413486599,13.0286137297911,9.40896336499612,9.36430139168074
RMSwz,8.5691367486105,6.73075001831127,11.911242775618,7.05004534165865,7.80797046507229
RMSwT,24.7960750321827,16.8844035401597,29.7728720346526,20.5205041522313,21.9283484365902
P2Px,14.9485,14.997,22.8019,10.9654,28.4373
P2Py,14.1869,13.3778,20.9733,13.2167,12.2443
P2Pz,20.8915,14.2985,29.357,17.3384,18.4356
P2PrT,14.3315371234861,15.3246770473205,21.4787782881178,11.3273888426057,21.1150286564328
P2Pwx,700.88,850.29,645.63,556.46,704.55
P2Pwy,273.83,221.65,589.16,306.12,719.64
P2Pwz,254.04,340.33,292.26,260.34,587.12
P2PwT,360.972602047343,469.078055988876,383.811103012827,327.324001885093,598.419873362278
MAXr,18.4679473956907,19.4472380499134,23.7045368883258,16.6889736337379,24.6563828338627
MINr,4.13641027220463,4.12256100259293,2.22575860020803,5.36158479113219,3.54135417742987
MAXw,361.009998407246,469.099646787332,383.882712869439,327.376888324451,598.497721466005
MINw,0.0373963599030708,0.02159079845675,0.0716098566120614,0.0528864393583081,0.0778481037277081
VARrT,0.0711986655783195,0.0474143155415244,0.165097322540757,0.0710720002161831,0.0635173694400716
VARwT,507.635885655767,235.797561241334,588.720546759885,328.928811035978,394.953423161058
